ano,mes,dia,time,latitude,area
1998,1,1,500,-21,110
1998,1,1,500,22,210
1998,1,1,500,-29,70
1998,1,2,500,-22,60
1998,1,2,500,20,180
1998,1,2,500,-28,50
1998,1,3,500,21,150
1998,1,3,500,-28,10
1998,1,4,500,22,110
1998,1,4,500,-28,10
1998,1,5,500,23,40
1998,1,5,500,23,10
1998,1,6,500,24,10
1998,1,6,500,-29,10
1998,1,10,500,-26,10
1998,1,11,500,-24,20
1998,1,11,500,-18,10
1998,1,11,500,4,10
1998,1,11,500,15,0
1998,1,12,500,-23,190
1998,1,12,500,-19,10
1998,1,12,500,16,0
1998,1,13,500,-22,150
1998,1,13,500,-19,10
1998,1,13,500,-17,0
1998,1,14,500,-22,180
1998,1,14,500,-17,10
1998,1,15,500,-23,340
1998,1,15,500,-16,10
1998,1,16,500,-24,290
1998,1,16,500,-17,0
1998,1,16,500,15,30
1998,1,16,500,-16,10
1998,1,16,500,-44,20
1998,1,17,500,-23,230
1998,1,17,500,-18,20
1998,1,17,500,15,30
1998,1,17,500,-15,10
1998,1,17,500,-43,30
1998,1,17,500,14,10
1998,1,18,500,-23,180
1998,1,18,500,-18,10
1998,1,18,500,16,30
1998,1,18,500,-42,30
1998,1,18,500,13,20
1998,1,19,500,-24,50
1998,1,19,500,-18,20
1998,1,19,500,15,0
1998,1,19,500,-43,10
1998,1,19,500,14,10
1998,1,19,500,-14,0
1998,1,19,500,26,0
1998,1,20,500,-17,10
1998,1,20,500,14,10
1998,1,20,500,-14,0
1998,1,20,500,25,10
1998,1,21,500,-18,0
1998,1,21,500,26,10
1998,1,22,500,26,10
1998,1,22,500,-21,10
1998,1,22,500,-35,10
1998,1,23,500,26,0
1998,1,23,500,-21,20
1998,1,23,500,-35,80
1998,1,23,500,12,0
1998,1,24,500,25,0
1998,1,24,500,-21,50
1998,1,24,500,-34,180
1998,1,24,500,13,0
1998,1,24,500,28,20
1998,1,24,500,15,0
1998,1,25,500,26,0
1998,1,25,500,-21,90
1998,1,25,500,-35,200
1998,1,25,500,13,10
1998,1,25,500,29,30
1998,1,25,500,15,20
1998,1,25,500,-23,0
1998,1,26,500,-22,120
1998,1,26,500,-36,250
1998,1,26,500,13,0
1998,1,26,500,28,20
1998,1,26,500,15,30
1998,1,26,500,-24,0
1998,1,27,500,-21,110
1998,1,27,500,-36,260
1998,1,27,500,13,10
1998,1,27,500,28,20
1998,1,27,500,16,20
1998,1,28,500,-22,80
1998,1,28,500,-36,460
1998,1,28,500,14,10
1998,1,28,500,28,20
1998,1,28,500,15,20
1998,1,29,500,-21,30
1998,1,29,500,-36,170
1998,1,29,500,14,10
1998,1,29,500,28,10
1998,1,29,500,16,10
1998,1,30,500,-33,100
1998,1,30,500,28,10
1998,1,30,500,16,30
1998,1,31,500,-35,90
1998,1,31,500,28,30
1998,1,31,500,16,0
1998,2,1,500,-35,110
1998,2,1,500,28,10
1998,2,2,500,-35,110
1998,2,2,500,-29,0
1998,2,3,500,-36,60
1998,2,3,500,26,30
1998,2,3,500,-24,30
1998,2,4,500,25,50
1998,2,4,500,-24,60
1998,2,5,500,25,20
1998,2,5,500,-22,60
1998,2,5,500,-19,10
1998,2,6,500,25,10
1998,2,6,500,-23,60
1998,2,6,500,-20,30
1998,2,7,500,-21,30
1998,2,7,500,-22,40
1998,2,8,500,-22,40
1998,2,8,500,-21,30
1998,2,8,500,-40,10
1998,2,9,500,-22,40
1998,2,9,500,-39,20
1998,2,9,500,-24,0
1998,2,10,500,-24,50
1998,2,10,500,-39,20
1998,2,10,500,-24,0
1998,2,10,500,-14,20
1998,2,10,500,-24,20
1998,2,11,500,-24,20
1998,2,11,500,-39,0
1998,2,11,500,-24,40
1998,2,11,500,27,10
1998,2,11,500,-19,10
1998,2,12,500,-24,0
1998,2,12,500,-39,0
1998,2,12,500,-25,210
1998,2,12,500,27,0
1998,2,12,500,-19,10
1998,2,13,500,-24,0
1998,2,13,500,-25,300
1998,2,13,500,26,0
1998,2,13,500,-19,10
1998,2,14,500,-24,0
1998,2,14,500,-24,360
1998,2,14,500,28,0
1998,2,14,500,-20,20
1998,2,14,500,33,10
1998,2,15,500,-22,0
1998,2,15,500,-25,380
1998,2,15,500,-21,10
1998,2,15,500,30,10
1998,2,15,500,23,10
1998,2,16,500,-25,520
1998,2,16,500,-21,20
1998,2,16,500,32,10
1998,2,16,500,23,20
1998,2,16,500,25,10
1998,2,17,500,-25,480
1998,2,17,500,22,20
1998,2,17,500,-21,10
1998,2,17,500,22,20
1998,2,17,500,25,10
1998,2,18,500,-25,370
1998,2,18,500,-22,10
1998,2,18,500,22,10
1998,2,18,500,26,10
1998,2,19,500,-25,380
1998,2,19,500,-21,20
1998,2,19,500,23,10
1998,2,19,500,16,10
1998,2,20,500,-25,360
1998,2,20,500,25,0
1998,2,21,500,-25,350
1998,2,21,500,-32,10
1998,2,22,500,-25,200
1998,2,22,500,-20,10
1998,2,22,500,-22,20
1998,2,23,500,-19,70
1998,2,23,500,-23,40
1998,2,23,500,17,20
1998,2,23,500,29,10
1998,2,24,500,-23,20
1998,2,24,500,16,70
1998,2,24,500,28,10
1998,2,24,500,22,0
1998,2,24,500,-27,10
1998,2,25,500,-21,10
1998,2,25,500,17,130
1998,2,25,500,-26,60
1998,2,25,500,17,0
1998,2,26,500,-21,10
1998,2,26,500,16,120
1998,2,26,500,-26,70
1998,2,26,500,16,0
1998,2,27,500,17,90
1998,2,27,500,-26,30
1998,2,27,500,-19,10
1998,2,27,500,0,0
1998,2,27,500,-24,10
1998,2,28,500,16,30
1998,2,28,500,-26,20
1998,2,28,500,-21,20
1998,2,28,500,-24,30
1998,3,1,500,15,60
1998,3,1,500,-26,20
1998,3,1,500,-20,70
1998,3,1,500,-23,110
1998,3,1,500,22,20
1998,3,1,500,-17,0
1998,3,2,500,15,20
1998,3,2,500,-25,10
1998,3,2,500,-21,60
1998,3,2,500,-23,190
1998,3,2,500,23,10
1998,3,2,500,-17,10
1998,3,3,500,-23,300
1998,3,3,500,23,10
1998,3,3,500,-15,0
1998,3,4,500,-24,540
1998,3,4,500,22,20
1998,3,4,500,-16,0
1998,3,5,500,-24,660
1998,3,5,500,22,50
1998,3,6,500,-24,340
1998,3,6,500,23,40
1998,3,6,500,-18,10
1998,3,6,500,-17,10
1998,3,7,500,23,30
1998,3,7,500,-17,40
1998,3,7,500,44,10
1998,3,7,500,-43,0
1998,3,8,500,-19,50
1998,3,8,500,45,40
1998,3,8,500,-42,30
1998,3,8,500,-33,10
1998,3,9,500,-17,50
1998,3,9,500,47,50
1998,3,9,500,-40,50
1998,3,10,500,-18,30
1998,3,10,500,47,30
1998,3,10,500,-39,110
1998,3,10,500,-15,100
1998,3,10,500,-22,10
1998,3,11,500,-18,30
1998,3,11,500,47,30
1998,3,11,500,-38,140
1998,3,11,500,-16,140
1998,3,11,500,-23,30
1998,3,12,500,-17,0
1998,3,12,500,47,20
1998,3,12,500,-40,140
1998,3,12,500,-17,100
1998,3,12,500,-24,30
1998,3,12,500,-29,10
1998,3,12,500,-20,0
1998,3,13,500,-19,10
1998,3,13,500,-17,0
1998,3,13,500,47,0
1998,3,13,500,-40,210
1998,3,13,500,-16,110
1998,3,13,500,-22,20
1998,3,13,500,-27,10
1998,3,14,500,-17,0
1998,3,14,500,48,10
1998,3,14,500,-39,150
1998,3,14,500,-17,110
1998,3,14,500,-22,140
1998,3,14,500,-30,10
1998,3,15,500,47,0
1998,3,15,500,-38,100
1998,3,15,500,-16,130
1998,3,15,500,-22,670
1998,3,15,500,-30,0
1998,3,16,500,-40,60
1998,3,16,500,-16,130
1998,3,16,500,-22,800
1998,3,17,500,-40,30
1998,3,17,500,-16,100
1998,3,17,500,-22,780
1998,3,18,500,-40,0
1998,3,18,500,-16,80
1998,3,18,500,-21,790
1998,3,18,500,-22,10
1998,3,18,500,22,50
1998,3,19,500,-17,50
1998,3,19,500,-22,720
1998,3,19,500,-24,30
1998,3,19,500,22,80
1998,3,20,500,-17,60
1998,3,20,500,-22,770
1998,3,20,500,-25,10
1998,3,20,500,23,20
1998,3,20,500,-18,50
1998,3,20,500,-24,0
1998,3,21,500,-17,40
1998,3,21,500,-22,590
1998,3,21,500,-29,10
1998,3,21,500,23,50
1998,3,21,500,-19,40
1998,3,21,500,-24,80
1998,3,22,500,-15,30
1998,3,22,500,-24,290
1998,3,22,500,-28,200
1998,3,22,500,22,40
1998,3,22,500,-20,40
1998,3,22,500,-24,350
1998,3,22,500,9,10
1998,3,23,500,22,90
1998,3,23,500,-20,40
1998,3,23,500,-25,510
1998,3,23,500,-23,10
1998,3,24,500,22,220
1998,3,24,500,-20,20
1998,3,24,500,-24,650
1998,3,24,500,-23,0
1998,3,25,500,22,190
1998,3,25,500,-21,0
1998,3,25,500,-25,580
1998,3,25,500,29,0
1998,3,26,500,21,180
1998,3,26,500,-25,530
1998,3,26,500,30,10
1998,3,27,500,22,130
1998,3,27,500,-24,480
1998,3,27,500,30,0
1998,3,27,500,-26,10
1998,3,28,500,22,110
1998,3,28,500,-26,430
1998,3,28,500,30,10
1998,3,28,500,-26,30
1998,3,29,500,21,50
1998,3,29,500,-25,450
1998,3,29,500,30,20
1998,3,29,500,-26,40
1998,3,29,500,-20,90
1998,3,30,500,-25,390
1998,3,30,500,30,0
1998,3,30,500,-26,20
1998,3,30,500,-20,100
1998,3,31,500,-25,480
1998,3,31,500,-27,0
1998,3,31,500,-22,100
1998,3,31,500,-20,30
1998,4,1,500,-25,440
1998,4,1,500,29,10
1998,4,1,500,-21,230
1998,4,1,500,-21,30
1998,4,1,500,-33,10
1998,4,2,500,-24,290
1998,4,2,500,-19,130
1998,4,2,500,-19,30
1998,4,2,500,-30,20
1998,4,3,500,-25,210
1998,4,3,500,-20,140
1998,4,3,500,-20,40
1998,4,3,500,-32,20
1998,4,4,500,-22,70
1998,4,4,500,-20,70
1998,4,4,500,-22,30
1998,4,4,500,-22,30
1998,4,5,500,-20,60
1998,4,5,500,-21,10
1998,4,5,500,-22,250
1998,4,5,500,-18,150
1998,4,5,500,-26,30
1998,4,6,500,-20,40
1998,4,6,500,-20,10
1998,4,6,500,-22,280
1998,4,6,500,-18,260
1998,4,6,500,-27,60
1998,4,7,500,-21,30
1998,4,7,500,-23,290
1998,4,7,500,-18,310
1998,4,7,500,-27,60
1998,4,7,500,18,10
1998,4,7,500,32,20
1998,4,7,500,-28,60
1998,4,7,500,-26,50
1998,4,8,500,-21,40
1998,4,8,500,-23,260
1998,4,8,500,-19,280
1998,4,8,500,-27,60
1998,4,8,500,18,10
1998,4,8,500,32,10
1998,4,8,500,-28,170
1998,4,8,500,-27,110
1998,4,9,500,-22,20
1998,4,9,500,-23,240
1998,4,9,500,-18,300
1998,4,9,500,-27,20
1998,4,9,500,18,10
1998,4,9,500,32,10
1998,4,9,500,-28,70
1998,4,9,500,-27,100
1998,4,9,500,-21,40
1998,4,9,500,19,10
1998,4,9,500,-21,20
1998,4,10,500,-23,210
1998,4,10,500,-17,300
1998,4,10,500,-25,20
1998,4,10,500,-28,60
1998,4,10,500,-28,100
1998,4,10,500,-22,180
1998,4,10,500,-21,20
1998,4,11,500,-23,160
1998,4,11,500,-19,280
1998,4,11,500,-27,30
1998,4,11,500,-28,30
1998,4,11,500,-27,20
1998,4,11,500,-22,120
1998,4,11,500,-21,20
1998,4,12,500,-22,140
1998,4,12,500,-19,250
1998,4,12,500,-26,10
1998,4,12,500,-28,30
1998,4,12,500,-27,20
1998,4,12,500,-21,100
1998,4,12,500,-23,20
1998,4,13,500,-21,100
1998,4,13,500,-18,210
1998,4,13,500,-28,20
1998,4,13,500,-26,0
1998,4,13,500,-22,90
1998,4,13,500,-26,10
1998,4,14,500,-19,180
1998,4,14,500,-27,10
1998,4,14,500,-29,10
1998,4,14,500,-23,40
1998,4,14,500,-26,30
1998,4,14,500,30,10
1998,4,15,500,-17,190
1998,4,15,500,-29,10
1998,4,15,500,-21,40
1998,4,15,500,-24,40
1998,4,15,500,31,100
1998,4,16,500,-16,140
1998,4,16,500,-23,10
1998,4,16,500,31,50
1998,4,16,500,-15,10
1998,4,17,500,-17,60
1998,4,17,500,-24,10
1998,4,17,500,31,30
1998,4,17,500,-16,10
1998,4,17,500,21,20
1998,4,18,500,33,0
1998,4,18,500,21,50
1998,4,19,500,21,70
1998,4,19,500,23,20
1998,4,20,500,21,100
1998,4,20,500,25,0
1998,4,21,500,21,70
1998,4,21,500,24,0
1998,4,21,500,0,0
1998,4,22,500,21,130
1998,4,22,500,24,0
1998,4,22,500,18,0
1998,4,23,500,22,90
1998,4,23,500,17,0
1998,4,23,500,-22,0
1998,4,24,500,18,0
1998,4,24,500,-24,0
1998,4,25,500,18,0
1998,4,25,500,-24,0
1998,4,25,500,-16,230
1998,4,25,500,-22,0
1998,4,26,500,-17,200
1998,4,26,500,-22,0
1998,4,27,500,-17,200
1998,4,28,500,-17,300
1998,4,28,500,-30,20
1998,4,28,500,-25,10
