t;lo;la;a
1998-01-03T07:50:00; 51.7307000; 18.60700000;  31.61160
1998-01-03T07:50:00; 50.9350000; 20.86070000;  39.58490
1998-01-03T07:50:00; 50.1777000; 22.48590000; 179.82000
1998-01-12T07:50:00;-14.8093000;-22.95540000; 639.36500
1998-01-12T07:50:00; -1.7726200;-19.91450000;  30.35470
1998-01-12T07:50:00;  1.1246000;-19.44410000;  30.26930
1998-01-13T07:45:00; -1.4794200;-22.86560000; 995.38500
1998-01-14T09:29:59; 15.1418000;-23.12050000; 433.09600
1998-01-14T09:29:59;  8.7045100;-22.42210000; 335.72600
1998-01-16T08:55:00; 41.4033000;-23.16210000; 472.09600
1998-01-16T08:55:00; 35.5913000;-22.80190000; 357.17400
1998-01-16T08:55:00;-37.3806000;-16.72070000;  33.05560
1998-01-17T07:34:59; 48.3033000;-42.98800000;  29.30360
1998-01-17T07:34:59; 51.8349000;-42.38420000;  51.10490
1998-01-17T07:34:59; 53.3158000;-23.22360000; 362.88800
1998-01-17T07:34:59; 45.8033000;-23.03290000; 142.68200
1998-01-17T07:34:59; 26.8361000; 14.59840000;  64.37130
1998-01-17T07:34:59; 23.5275000; 14.47630000;  14.32590
1998-01-18T07:54:59; 66.5522000;-22.81550000; 238.00400
1998-01-18T07:54:59; 59.4883000;-22.68220000;  72.43880
1998-01-18T07:54:59; 40.6748000; 14.85230000;  60.31550
1998-01-19T07:54:59;-37.4162000;-10.33380000;  90.75720
1998-01-19T07:54:59;-26.1950000;-10.83670000;  27.65720
1998-01-25T07:54:59;-51.6449000;-37.84170000;  53.75100
1998-01-25T07:54:59;-46.1700000;-36.56670000;  37.02570
1998-01-25T07:54:59;-40.0381000;-35.50590000; 208.50200
1998-01-25T07:54:59;-45.4035000;-35.18060000;  25.23220
1998-01-25T07:54:59; 21.1809000;-20.61540000;  75.78290
1998-01-25T07:54:59; 26.4844000;-20.57560000; 117.55300
1998-01-25T07:54:59;-48.0354000; 10.90980000;  33.67300
1998-01-25T07:54:59;-62.0124000; 27.39660000;  30.82490
1998-01-25T07:54:59;-57.0806000; 26.79060000;  18.15260
1998-01-26T10:14:59;-38.4083000;-37.64660000; 238.24600
1998-01-26T10:14:59;-24.8826000;-35.24820000; 432.06600
1998-01-26T10:14:59;-31.7215000;-34.95610000; 100.70900
1998-01-26T10:14:59; 41.9265000;-20.95180000; 289.54000
1998-01-26T10:14:59; 37.7674000;-21.20170000;  20.44260
1998-01-26T10:14:59; 36.1323000;-19.71530000;  71.01860
1998-01-26T10:14:59;-42.1529000; 13.27540000; 124.71200
1998-01-26T10:14:59;-47.3366000; 27.71590000;  59.33200
1998-01-27T07:43:59;-27.0920000;-37.88720000; 329.94500
1998-01-27T07:43:59;-12.3653000;-35.49230000; 112.43400
1998-01-27T07:43:59; 53.8274000;-20.95700000; 165.20700
